"filename", "language", "Dart", "comment", "blank", "total"
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/main.dart", "Dart", -2, 2, 0, 0
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/models/crypto_quote_model.dart", "Dart", 0, 10, 7, 17
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/models/kline_model.dart", "Dart", 0, 10, 7, 17
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/models/user_preferences_model.dart", "Dart", 0, 4, 2, 6
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/crypto_quote_notifier.dart", "Dart", 1, 5, 2, 8
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/crypto_quote_state.dart", "Dart", -15, 0, -5, -20
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/favorites_notifier.dart", "Dart", 1, 8, 2, 11
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/favorites_state.dart", "Dart", -14, 0, -4, -18
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/kline_notifier.dart", "Dart", 1, 8, 3, 12
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/kline_state.dart", "Dart", -15, 0, -5, -20
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/preferences_notifier.dart", "Dart", 1, 8, 2, 11
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/preferences_state.dart", "Dart", -15, 0, -5, -20
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/routes/app_router.dart", "Dart", 0, 1, 0, 1
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/detail_screen.dart", "Dart", 2, 4, 0, 6
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/home_screen.dart", "Dart", 0, 2, 0, 2
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/preferences_screen.dart", "Dart", 0, 3, 0, 3
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/tabs/favorites_tab.dart", "Dart", 0, 4, 0, 4
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/tabs/quotes_tab.dart", "Dart", 0, 4, 0, 4
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/widgets/drawer_widget.dart", "Dart", 1, 2, 0, 3
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/widgets/quote_list_tile.dart", "Dart", 0, 4, 0, 4
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/states/crypto_quote_state.dart", "Dart", 15, 10, 7, 32
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/states/favorites_state.dart", "Dart", 14, 10, 6, 30
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/states/kline_state.dart", "Dart", 15, 9, 7, 31
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/states/preferences_state.dart", "Dart", 15, 9, 7, 31
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/theme/app_colors.dart", "Dart", 16, 16, 14, 46
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/theme/app_theme.dart", "Dart", 30, 4, 3, 37
"Total", "-", 51, 137, 50, 238
