"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/app_en.arb", "JSON", 0, 63, 0, 0, 63
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/app_es.arb", "JSON", 0, 63, 0, 0, 63
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/app_pt.arb", "JSON", 0, 63, 0, 0, 63
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/generated/app_localizations.dart", "Dart", 74, 0, 124, 31, 229
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/generated/app_localizations_en.dart", "Dart", 35, 0, 3, 18, 56
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/generated/app_localizations_es.dart", "Dart", 35, 0, 3, 18, 56
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/l10n/generated/app_localizations_pt.dart", "Dart", 35, 0, 3, 18, 56
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/main.dart", "Dart", 67, 0, 2, 6, 75
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/models/crypto_quote_model.dart", "Dart", 31, 0, 11, 10, 52
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/models/kline_model.dart", "Dart", 30, 0, 11, 10, 51
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/models/user_preferences_model.dart", "Dart", 10, 0, 5, 4, 19
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/crypto_quote_notifier.dart", "Dart", 80, 0, 5, 13, 98
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/favorites_notifier.dart", "Dart", 52, 0, 8, 10, 70
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/kline_notifier.dart", "Dart", 46, 0, 8, 10, 64
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/notifiers/preferences_notifier.dart", "Dart", 60, 0, 8, 9, 77
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/routes/app_router.dart", "Dart", 18, 0, 1, 4, 23
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/detail_screen.dart", "Dart", 377, 0, 4, 20, 401
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/home_screen.dart", "Dart", 54, 0, 2, 4, 60
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/preferences_screen.dart", "Dart", 121, 0, 3, 13, 137
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/tabs/favorites_tab.dart", "Dart", 51, 0, 4, 8, 63
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/tabs/quotes_tab.dart", "Dart", 63, 0, 4, 9, 76
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/widgets/drawer_widget.dart", "Dart", 35, 0, 2, 3, 40
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/screens/widgets/quote_list_tile.dart", "Dart", 52, 0, 4, 5, 61
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/states/crypto_quote_state.dart", "Dart", 16, 0, 10, 8, 34
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/states/favorites_state.dart", "Dart", 14, 0, 10, 6, 30
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/states/kline_state.dart", "Dart", 15, 0, 9, 7, 31
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/states/preferences_state.dart", "Dart", 15, 0, 9, 7, 31
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/theme/app_colors.dart", "Dart", 16, 0, 16, 14, 46
"/Users/thf/Work/Flutter_Apps/tcc/flutter_spaghetti/lib/theme/app_theme.dart", "Dart", 30, 0, 4, 3, 37
"Total", "-", 1432, 189, 273, 268, 2162
